date,how to unfollow someone on instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2014-04-01,67,49,96,14,11,249,6,12,28,22,164,109,94,278,218,3,0,167,77,156,3,17,34,18,2,149,2,2,11,7,3,6,2,3,4,11,2,2,4,9,0,12,0,337,120,25,24,3,210,6,9,12,0,7,188,81,105,3,5,15,5,2
2014-05-01,61,40,76,19,10,183,12,8,19,23,152,149,100,246,211,3,0,163,68,141,24,16,46,26,5,161,5,7,8,4,2,5,3,6,5,21,0,4,5,15,0,9,2,355,123,22,29,6,204,10,11,9,2,8,172,74,108,3,5,20,3,3
2014-06-01,56,61,72,9,10,157,8,6,27,25,149,120,116,246,229,3,0,167,65,137,6,20,68,29,3,69,5,3,8,6,3,5,2,4,3,17,2,2,2,10,0,10,7,346,118,16,39,5,190,13,9,10,7,8,166,77,111,2,3,20,5,3
2014-07-01,69,52,81,16,15,180,14,7,34,39,188,115,123,304,286,3,0,171,66,205,7,13,74,31,2,66,3,6,4,7,6,5,5,6,3,19,0,3,5,10,0,8,2,355,113,27,29,2,170,13,7,8,2,8,229,83,113,2,5,22,3,3
2014-08-01,66,58,86,16,11,211,7,11,23,29,181,102,118,268,258,3,0,417,76,180,6,21,54,33,3,69,2,4,3,6,5,4,3,2,2,15,0,3,2,10,0,12,3,391,113,12,32,3,170,20,4,12,3,13,213,81,125,2,3,13,7,8
2014-09-01,65,53,72,11,10,188,9,10,21,33,132,104,96,262,211,3,0,259,86,180,7,13,29,24,2,66,3,3,8,6,4,5,3,2,2,18,0,2,2,16,0,20,8,328,130,20,27,7,204,15,6,20,8,11,185,66,86,3,8,20,4,6
2014-10-01,55,65,63,12,14,193,12,11,26,41,122,129,85,246,240,2,0,209,73,178,9,14,30,18,2,59,4,5,6,5,4,5,5,4,3,19,0,2,3,9,0,15,3,310,130,25,19,9,224,9,9,15,3,8,197,66,93,4,8,16,6,2
2014-11-01,68,46,70,12,9,165,8,9,20,31,132,117,114,242,229,4,0,188,77,182,10,14,45,23,3,54,6,3,8,10,5,3,5,6,4,13,0,2,3,12,0,22,7,310,133,20,29,67,204,11,16,22,7,8,185,66,102,5,6,18,2,5
2014-12-01,72,36,85,10,7,177,14,11,23,29,140,147,134,249,243,4,0,175,64,178,6,19,66,22,3,66,3,3,5,5,4,5,2,3,2,15,2,2,2,13,0,12,4,337,128,25,19,22,204,9,8,12,3,11,213,112,107,4,4,17,2,5
2015-01-01,67,49,72,11,9,167,8,17,26,33,159,170,149,255,308,2,0,167,69,168,36,17,67,20,4,52,6,1,7,7,4,6,4,2,5,12,0,0,3,18,0,11,3,355,113,22,15,13,217,12,10,11,2,15,197,193,97,4,3,18,2,4
2015-02-01,63,48,90,12,5,124,9,6,19,34,122,118,127,242,247,3,0,180,75,166,19,22,39,13,6,59,8,2,9,8,5,5,2,4,4,16,0,2,2,13,0,11,2,273,125,27,13,14,207,10,11,11,2,10,185,72,99,3,3,17,8,2
2015-03-01,57,43,88,17,5,129,8,12,21,32,142,152,125,233,215,3,0,146,69,172,10,17,40,16,5,57,5,2,4,7,4,2,3,8,4,19,0,2,4,8,0,19,3,282,133,16,14,11,200,11,9,19,1,11,179,37,93,3,8,20,4,4
2015-04-01,63,40,76,20,9,139,10,10,26,33,127,122,152,233,222,2,0,142,66,154,18,20,47,17,5,81,6,2,8,8,2,3,3,5,3,21,1,1,1,15,0,14,5,300,118,22,10,20,224,10,9,14,5,9,185,54,85,2,5,20,2,4
2015-05-01,64,45,81,16,6,126,9,10,20,31,137,102,120,242,250,4,0,126,59,141,6,23,57,22,6,179,8,3,11,8,3,7,2,5,4,24,0,1,2,10,0,13,5,273,103,24,12,14,220,7,7,13,6,14,175,47,97,4,6,15,1,6
2015-06-01,61,52,75,18,4,139,5,11,13,38,127,117,129,259,358,1,0,142,62,154,8,17,73,19,5,120,7,4,9,7,6,4,7,4,3,15,1,0,1,9,0,12,13,273,125,16,7,33,200,7,13,12,14,12,210,52,102,3,5,16,6,4
2015-07-01,66,46,74,40,4,152,9,14,22,37,140,147,196,249,265,2,0,146,80,192,17,19,48,20,5,66,7,3,9,5,4,5,4,5,4,17,0,0,1,9,0,14,8,291,128,27,11,23,180,8,9,14,8,10,219,52,93,3,7,19,0,4
